agent_dir,agent_type,episodes,reward_mean,reward_std,score_mean,score_std,length_mean,length_std
00-vanilla,vanilla,100,181.88510000000016,85.1732568818916,8.92,6.913140758838573,368.11,69.47957987928554
01-double,double,100,310.79620000000034,103.59498692855401,18.66,7.57217127234836,367.15,64.62469350102181
02-dueling,dueling,100,357.73820000000075,83.77515260927387,21.93,5.780942218124389,366.44,62.43951740150891
