agent_dir,agent_type,episodes,reward_mean,reward_std,score_mean,score_std,length_mean,length_std
02-dueling,dueling,100,350.9761000000007,91.64798123490986,21.96,5.915089418452001,347.86,79.45992192243327
03-dueling,dueling,100,413.65660000000014,112.61475110124763,21.02,6.591975531973811,351.03,74.82267994627989
04-dueling,dueling,100,270.9826000000002,77.68491375740237,12.04,3.9820810761421845,285.65,92.59593714498264
05-dueling,dueling,100,360.39639999999935,105.20899467558024,20.31,6.705485467401697,349.98,79.67598271889857
